"page_number","title","url","metascore","userscore","publish_date"
"2","The Witcher 3: Wild Hunt (PS4)","/game/playstation-4/the-witcher-3-wild-hunt","92","9.2","2015-05-19"
"2","Super Mario World: Super Mario Advance 2 (GBA)","/game/game-boy-advance/super-mario-world-super-mario-advance-2","92","9.0","2002-02-09"
"2","ESPN NFL 2K5 (XBOX)","/game/xbox/espn-nfl-2k5","92","7.9","2004-07-20"
"2","Super Smash Bros. Melee (GC)","/game/gamecube/super-smash-bros-melee","92","9.1","2001-12-02"
"2","Madden NFL 2003 (XBOX)","/game/xbox/madden-nfl-2003","92","7.6","2002-08-12"
"2","Rome: Total War (PC)","/game/pc/rome-total-war","92","9.1","2004-09-22"
"2","Forza Motorsport 3 (X360)","/game/xbox-360/forza-motorsport-3","92","8.1","2009-10-27"
"2","Okami HD (PC)","/game/pc/okami-hd","92","7.9","2017-12-12"
"2","Undertale (PC)","/game/pc/undertale","92","8.4","2015-09-15"
"2","Batman: Arkham Asylum (X360)","/game/xbox-360/batman-arkham-asylum","92","8.7","2009-08-25"
"2","Super Mario Sunshine (GC)","/game/gamecube/super-mario-sunshine","92","8.6","2002-08-25"
"2","SSX 3 (XBOX)","/game/xbox/ssx-3","92","8.5","2003-10-20"
"2","SoulCalibur II (XBOX)","/game/xbox/soulcalibur-ii","92","8.7","2003-08-27"
"2","Tony Hawk's Pro Skater (PS)","/game/playstation/tony-hawks-pro-skater","92","8.7","1999-08-31"
"2","Thief: The Dark Project (PC)","/game/pc/thief-the-dark-project","92","9.0","1998-11-30"
"2","Fire Emblem: Awakening (3DS)","/game/3ds/fire-emblem-awakening","92","9.1","2013-02-04"
"2","Age of Empires II: The Age of Kings (PC)","/game/pc/age-of-empires-ii-the-age-of-kings","92","9.0","1999-09-30"
"2","Final Fantasy X (PS2)","/game/playstation-2/final-fantasy-x","92","8.9","2001-12-17"
"2","Prince of Persia: The Sands of Time (GC)","/game/gamecube/prince-of-persia-the-sands-of-time","92","7.9","2003-11-18"
"2","The Walking Dead: A Telltale Games Series (X360)","/game/xbox-360/the-walking-dead-a-telltale-games-series","92","8.6","2012-04-27"
"2","Unreal Tournament (1999) (PC)","/game/pc/unreal-tournament-1999","92","9.0","1999-11-30"
"2","Sid Meier's Alpha Centauri (PC)","/game/pc/sid-meiers-alpha-centauri","92","8.8","1999-02-12"
"2","Wave Race 64 (N64)","/game/nintendo-64/wave-race-64","92","8.3","1996-11-01"
"2","Divinity: Original Sin II - Definitive Edition (PS4)","/game/playstation-4/divinity-original-sin-ii---definitive-edition","92","7.7","2018-08-31"
